id,should_trigger,prompt
trigger-01,true,"Update the Russian architecture overview after the CLI trust boundary changed."
trigger-02,true,"The API renamed a public field. Find and fix any Toudocu documentation that is now inaccurate."
trigger-03,true,"После изменения регистрации описание пользовательского сценария и схема процесса больше не совпадают с продуктом. Обнови их."
trigger-04,true,"$toudocu init"
trigger-05,true,"$toudocu refresh diff"
trigger-06,true,"$toudocu translate de --all-stale"
trigger-07,true,"Prepare the context for TASK-CLI-014 and show its verification plan without running commands."
trigger-08,true,"Add the missing SC-* transition and rewrite the FLOW-* Mermaid labels so a product manager can understand them."
trigger-09,true,"Build the Toudocu portal and verify that the documentation model still passes its checks."
trigger-10,true,"Обнови стандарт STD-DOCS-001 и связанную эксплуатационную инструкцию после изменения обязательной проверки."
trigger-11,false,"Explain what this Go function does in the chat. Do not change repository documentation."
trigger-12,false,"Fix the failing unit test; public behavior and documentation are unchanged."
trigger-13,false,"Translate this marketing email into German."
trigger-14,false,"Нарисуй Mermaid-схему для презентации, репозиторий и документацию не меняй."
trigger-15,false,"Show me how to rebase my Git branch onto main."
trigger-16,false,"Rename a private variable and update its inline code comment."
trigger-17,false,"Configure a Docusaurus theme for my website; this repository does not use Toudocu."
trigger-18,false,"Give me general advice on writing clearer technical documentation."
trigger-19,false,"Run gofmt on all Go files."
trigger-20,false,"Summarize the attached PDF for me."
